ID,File_Name,Cell_Type,B-Gal
1,Kupritz-26037-001,CD4,Pos
1,Kupritz-26037-002,CD4,Neg
1,Kupritz-26037-003,CD8,Pos
1,Kupritz-26037-004,CD8,Neg
2,Kupritz-26037-005,CD4,Pos
2,Kupritz-26037-006,CD4,Neg
2,Kupritz-26037-007,CD8,Pos
2,Kupritz-26037-008,CD8,Neg
3,Kupritz-26037-009,CD4,Pos
3,Kupritz-26037-010,CD4,Neg
3,Kupritz-26037-011,CD8,Pos
3,Kupritz-26037-012,CD8,Neg
